ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimientoID,JuegoID
1,Desgaste,04/06/2024,Cerrada,"['877-15-7376', '467-34-2729']",['MNT-13905'],7356680
2,Desgaste,18/10/2023,Abierta,"['592-42-6016', '339-07-9203']",['MNT-00687'],7924749
3,Rotura,27/07/2024,Cerrada,"['012-65-0978', '976-02-8152']",['MNT-00376'],5658641
4,Vandalismo,25/12/2023,Cerrada,"['588-11-9551', '532-78-5662', '166-45-6290']",['MNT-02131'],9224004
5,Mal funcionamiento,14/01/2024,Cerrada,"['004-60-5880', '563-73-1437']","['MNT-05277', 'MNT-08362']",18862
6,Mal funcionamiento,16/06/2024,Cerrada,['243-58-3707'],['MNT-00817'],18785
7,Mal funcionamiento,29/11/2023,Abierta,"['568-97-1438', '060-60-3082']",['MNT-13919'],3577447
8,Desgaste,11/07/2024,Abierta,"['796-05-5365', '885-57-6046']",['MNT-12758'],9288667
9,Mal funcionamiento,30/03/2024,Cerrada,"['845-09-0809', '326-82-2881']",['MNT-01303'],19287
10,Rotura,14/08/2024,Cerrada,['593-69-8841'],['MNT-05048'],58188
11,Vandalismo,10/10/2024,Cerrada,"['090-00-7405', '071-19-1066', '229-65-4862']","['MNT-07427', 'MNT-14453']",5241056
12,Desgaste,17/12/2023,Cerrada,['176-13-0825'],['MNT-10750'],9288541
13,Mal funcionamiento,20/07/2024,Cerrada,"['766-49-4521', '178-54-7373', '885-67-2471']","['MNT-03278', 'MNT-11201']",5240929
14,Desgaste,27/09/2024,Cerrada,['597-15-0862'],['MNT-14451'],9177703
15,Desgaste,25/10/2023,Cerrada,"['362-42-8620', '718-53-6721']","['MNT-04397', 'MNT-04960']",33139
16,Desgaste,20/01/2024,Abierta,['199-84-4323'],['MNT-00498'],22078
17,Vandalismo,09/07/2024,Abierta,"['095-45-4865', '707-18-9915', '799-14-3002']",['MNT-10246'],8804645
18,Mal funcionamiento,06/02/2024,Cerrada,['813-75-9847'],['MNT-11472'],3567985
19,Desgaste,11/02/2024,Cerrada,"['474-19-4063', '458-07-3973', '990-13-7252']","['MNT-01733', 'MNT-11172']",33406
20,Vandalismo,01/05/2024,Cerrada,['629-15-3222'],['MNT-10095'],58646
21,Mal funcionamiento,21/10/2023,Abierta,"['282-52-9975', '384-61-9704']",['MNT-09042'],7890631
